English sentence,Swahii Translation
She attended the party with her children.,Alihudhuria sherehe hiyo na watoto wake.
I do not even know my sister's husband.,Sijui hata mume wa dada yangu.
His step mother denied him food.,Mama yake wa kambo alimkataa chakula.
The thieves ran away on hearing the police car sirens.,Wezi hao walikimbia kusikia sauti za gari za polisi.
Some people dump rubbish on the road.,Watu wengine hutupa takataka barabarani.
For how long has he been in jail?,Je! Amekuwa gerezani kwa muda gani?
What do you want to become in future?,Je! Unataka kuwa nini katika siku zijazo?
The vehicle carries goods.,Gari hubeba bidhaa.
You were right about his illness.,Ulikuwa sahihi juu ya ugonjwa wake.
We do not know why the vehicle suddenly stopped moving.,Hatujui ni kwanini gari iliacha kusonga mbele.
He felt alot of pain in his body after the fight.,Alihisi maumivu mengi mwilini mwake baada ya mapigano.
We use newspapers to light the charcoal stove.,Tunatumia magazeti kuwasha jiko la mkaa.
My mother bought plastic teeth to fill the gap in her teeth.,Mama yangu alinunua meno ya plastiki kujaza pengo kwenye meno yake.
Depressed people can easily commit suicide.,Watu waliofadhaika wanaweza kujiua kwa urahisi.
His parents denied him the opportunity of going to school.,Wazazi wake walimkataa fursa ya kwenda shule.
The kidnappers set her free after the police hunted them down.,Wateka nyara walimwachilia huru baada ya polisi kuwawinda.
He was smart with a coat on.,Alikuwa smart na kanzu.
Mother irons father's trousers.,Mama anatoa suruali ya baba.
Do not get involved in witch craft.,Usijihusishe na ujanja wa wachawi.
The children asked her to help them cross the road.,Watoto walimwuliza awasaidie kuvuka barabara.
She was locked in the prison cell.,Alikuwa amefungwa kwenye kiini cha gereza.
She is imagining alot of good things for herself.,Yeye anafikiria mengi ya vitu vizuri kwake.
The pain of the burn ran through my body.,Ma maumivu ya kuchoma yalipitia mwili wangu.
We forgot to close the door yesterday night.,Tulisahau kufunga mlango jana usiku.
She bought new headphones for me.,Alininunulia vichwa vipya.
Which sport did you participate in?,Ulishiriki mchezo gani?
We have two dogs at home.,Tuna mbwa wawili nyumbani.
He needs a television set at home.,Anahitaji televisheni iliyowekwa nyumbani.
She has two English names.,Ana majina mawili ya Kiingereza.
The two brothers live in the same house.,Ndugu hao wawili wanaishi katika nyumba moja.
He has a particular dress code every Monday.,Ana nambari fulani ya mavazi kila Jumatatu.
He drunk two glasses of wine.,Alikunywa glasi mbili za divai.
What did he do to become rich?,Alifanya nini kuwa tajiri?
When is your day off from work?,Je! Siku yako iko kazini lini?
He sells the bananas from his plantation.,Anauza ndizi kutoka kwa shamba lake.
Grasshoppers have two seasons in a year.,Grasshoppers wana misimu miwili kwa mwaka.
What are you searching for?,Unatafuta nini?
Young children love sweets alot.,Watoto wadogo wanapenda pipi nyingi.
We do not eat grasshoppers with wings and legs.,Hatukula panzi na mabawa na miguu.
The sweets were of red and blue colour.,Pipi zilikuwa za rangi nyekundu na bluu.
Why was he chewing a polythene bag?,Kwa nini alikuwa akitafuna begi la polythene?
I drink milk with honey.,Ninakunywa maziwa na asali.
He ran past him at the finishing line.,Alikimbia nyuma yake kwenye mstari wa kumaliza.
He was the one who painted our school buidlings.,Yeye ndiye aliyepaka rangi zetu za shule.
Did you watch news yesterday?,Je! Uliangalia habari jana?
Mother does not want us to play with the neighbour's kids.,Mama hataki tucheze na watoto wa jirani.
The other pupils reported him to the class teacher for his bad manners.,Wanafunzi wengine walimripoti kwa mwalimu wa darasa kwa tabia yake mbaya.
An environment with trees is usually cool.,Mazingira yenye miti kawaida ni baridi.
He was plucking off the wings and the legs of the grasshoppers,Alikuwa akivuta mabawa na miguu ya panzi
We bought banana leaves from the market.,Tulinunua majani ya ndizi kutoka soko.
How much is the cost of a sweet?,Je! Gharama ya tamu ni kiasi gani?
There is some food in the saucepan.,Kuna chakula kwenye sufuria.
The sweet was very hard to break.,Tamu ilikuwa ngumu sana kuvunja.
For how long has their friendship lasted?,Je! Urafiki wao umedumu kwa muda gani?
He accidentally bit his mouth.,Yeye kwa bahati mbaya mdomo wake.
The old man hardly has any teeth left in his mouth.,Yule mzee hana meno yoyote iliyobaki kinywani mwake.
He was missing two lower teeth.,Alikuwa akikosa meno mawili ya chini.
The children laughed at her.,Watoto walimcheka.
A ripe banana is very sweet.,Ndizi iliyoiva ni tamu sana.
The baby has grown two teeth so far.,Mtoto amekua meno mawili hadi sasa.
She likes to laugh all the time.,Yeye anapenda kucheka wakati wote.
There is a small path that leads to the banana plantation.,Kuna njia ndogo ambayo inaongoza kwa upandaji wa ndizi.
Who owns this piece of land?,Nani anamiliki kipande hiki cha ardhi?
He looks older than the last time I met him.,Anaonekana mzee kuliko mara ya mwisho nilipokutana naye.
 He planted oranges and pawpaw trees at the side of his plantation., Alipanda machungwa na miti ya pawpaw kando ya shamba lake.
We always stole mangoes from his mango trees.,Sisi daima tuliiba maembe kutoka kwa miti yake ya maembe.
The children used to steal sugar whenever mother was away.,Watoto walikuwa wakiiba sukari wakati wowote mama alikuwa mbali.
"When we reached home, we found aunt was telling mother about the city.","Tulipofika nyumbani, tuligundua shangazi alikuwa akimwambia mama juu ya jiji."
His is now one of the richest men in the city.,Yake sasa ni mmoja wa watu tajiri zaidi katika jiji.
He has enough money to buy anything he wants.,Ana pesa za kutosha kununua chochote anachotaka.
Aunt bought new dresses from the city.,Shangazi alinunua nguo mpya kutoka mji.
Some people use thorns to pierce their ears.,Watu wengine hutumia miiba kutoboa masikio yao.
Some people believe that children with pierced ears cannot be used as child sacrifices.,Watu wengine wanaamini kuwa watoto walio na masikio ya kutoboa hawawezi kutumiwa kama dhabihu za watoto.
My father is against piercing boys ears.,Baba yangu ni dhidi ya kutoboa masikio ya wavulana.
I pierced my ears last year.,Niliboa masikio yangu mwaka jana.
The glittering dangling earrings make her look beautiful.,Vipuli vya kung'aa vinamfanya aonekane mzuri.
Some strangers came to our home.,Wageni wengine walikuja nyumbani kwetu.
Someone stole the old man's jack fruits.,Mtu aliiba matunda ya jack ya mzee.
"We ate the pawpaw from our backyard, where no one would see us.","Tulikula pawpaw kutoka kwa uwanja wetu wa nyuma, ambapo hakuna mtu angetuona."
The plantation was situated by the road from our village to our school.,Upandaji huo ulikuwa na barabara kutoka kijiji chetu kwenda shule yetu.
The nettball teams will have a competitive match in the school playground.,Timu za Nettball zitakuwa na mechi ya ushindani katika uwanja wa michezo wa shule.
The sisters would always fight over something small.,Dada kila wakati wangekuwa wanapigania kitu kidogo.
We always visited the same place on school trips.,Sisi kila wakati tulitembelea sehemu moja kwenye safari za shule.
She believes that she will be a very important person in future.,Anaamini kuwa atakuwa mtu muhimu sana katika siku zijazo.
His dream is to become the president of this country.,Ndoto yake ni kuwa rais wa nchi hii.
I wanted to be a teacher and wear transparent spectacles like our class teacher.,Nilitaka kuwa mwalimu na kuvaa maonyesho ya uwazi kama mwalimu wetu wa darasa.
He walked down to the main road.,Alitembea chini ya barabara kuu.
He waved to his sister when she was leaving.,Alimtikisa dada yake wakati alikuwa akiondoka.
The children played while running in the same direction.,Watoto walicheza wakati wa kukimbia katika mwelekeo huo huo.
We expected him to lend us some money but he did not.,Tulitarajia atukopee pesa lakini hakufanya.
He pulled out a pack of sweets and distributed them among the children.,Akatoa pakiti ya pipi na kuzisambaza kati ya watoto.
We were very happy that he came to visit us.,Tulifurahi sana kwamba alitutembelea.
He drove off when the traffic lights turned green.,Aliondoka wakati taa za trafiki zikageuka kijani.
Some men were playing cards in the shade.,Wanaume wengine walikuwa wakicheza kadi kwenye kivuli.
"The man is very big in size, he can hardly even move.","Mtu ni mkubwa sana kwa ukubwa, hawezi hata kusonga."
We chased after the thief but he disappeared from our sight.,Tulimfuata mwizi lakini alipotea kutoka kwa macho yetu.
The fast running car raised alot of dust on the road.,Gari inayoendesha haraka iliinua vumbi barabarani.
He ate eggs and bread in the morning.,Alikula mayai na mkate asubuhi.
The car tyres got stuck in the muddy road.,Matairi ya gari yalikwama kwenye barabara ya matope.
He was sitting at my right hand side.,Alikuwa amekaa upande wangu wa kulia.
He did not come to school because he was not feeling well.,Hakuja shule kwa sababu hakuwa anahisi vizuri.
Mother left him at home and went to the garden.,Mama alimwacha nyumbani na kwenda kwenye bustani.
We miss father alot.,Tunamkosa baba sana.
The children play from morning till evening.,Watoto hucheza kutoka asubuhi hadi jioni.
The builders need more sand to complete the construction.,Wajenzi wanahitaji mchanga zaidi kukamilisha ujenzi.
The doctor told her that she does not have enough blood in the body.,Daktari alimwambia kwamba hana damu ya kutosha mwilini.
"No, that is my book.","Hapana, hiyo ni kitabu changu."
He laughed at her because she was wearing a torn dress.,Alimcheka kwa sababu alikuwa amevaa mavazi yaliyokatwa.
What are you going to cook today?,Je! Utapika nini leo?
Mother prepared chicken soup for the children.,Mama aliandaa supu ya kuku kwa watoto.
He is a skilled fisherman.,Yeye ni mvuvi mwenye ujuzi.
She chased the hen and caught it.,Alimfukuza kuku na akamshika.
She sliced the neck of the goat with a panga.,Alipiga shingo ya mbuzi na panga.
"When the chicken's head is cut off, the neck spills alot of blood.","Wakati kichwa cha kuku kinakatwa, shingo humwaga damu nyingi."
"After the chicken is slaughtered, the feathers are plucked off.","Baada ya kuku kuchinjwa, manyoya hutolewa."
We wondered why people had gathered in the compound.,Tulijiuliza kwanini watu walikuwa wamekusanyika katika kiwanja.
We nolonger have enough space in our compound.,Sisi nolonger tuna nafasi ya kutosha katika kiwanja chetu.
Men rarely cry in public.,Wanaume mara chache hulia hadharani.
Many people mourned over his death.,Watu wengi waliomboleza juu ya kifo chake.
The baby was left alone in the house.,Mtoto aliachwa peke yake ndani ya nyumba.
That voice sounds familiar to me.,Sauti hiyo inasikika kwangu.
"In Uganda, people visit the home of the deceased before and after the burial.","Nchini Uganda, watu hutembelea nyumba ya marehemu kabla na baada ya mazishi."
The doorway was congested by people.,Mlango wa mlango ulikusanywa na watu.
Aunt carried me alot when I was still young.,Shangazi alinibeba mengi wakati nilikuwa bado mchanga.
She has wounds on her mouth.,Ana majeraha kinywani mwake.
The children want to go to the city with their uncle.,Watoto wanataka kwenda jijini na mjomba wao.
I saw him from a distance.,Nilimwona kutoka mbali.
People crowded around the person that was knocked down by the car.,Watu walijaa karibu na mtu ambaye alibomolewa na gari.
"From the look on his face, he was smiling.","Kutoka kwa sura ya uso wake, alikuwa akitabasamu."
Grand father uses a walking stick to walk.,Grand Baba hutumia fimbo ya kutembea kutembea.
We played a friendly match with the visiting team.,Tulicheza mechi ya kirafiki na timu ya kutembelea.
Women tend to cry alot.,Wanawake huwa wanalia sana.
She confidently looked into my eyes and told me the truth.,Kwa ujasiri aliangalia machoni mwangu na kuniambia ukweli.
Where is the doctor?,Daktari yuko wapi?
She has a big head.,Ana kichwa kikubwa.
He walks while talking to himself.,Yeye hutembea wakati akiongea na yeye mwenyewe.
He is thinking alot in his head.,Anafikiria sana kichwani mwake.
Make sure that you are very clear in your communication.,Hakikisha kuwa uko wazi sana katika mawasiliano yako.
My head is aching.,Kichwa changu kinauma.
I wish father had agreed to our marriage proposal.,Natamani baba angekubali pendekezo letu la ndoa.
The mourners wept during the burial.,Walioomboleza walilia wakati wa mazishi.
She cried as a result of too much joy.,Alilia kama matokeo ya furaha nyingi.
I cried because she was crying.,Nililia kwa sababu alikuwa akilia.
The goats went grazing and came back home.,Mbuzi walikwenda malisho na kurudi nyumbani.
The children stole the old man's pawpaws from the tree.,Watoto waliiba pawpaws za mzee kutoka kwenye mti.
He has a small garden in the backyard.,Ana bustani ndogo katika uwanja wa nyuma.
"When I opened my eyes, tears fell down.","Wakati nilifungua macho yangu, machozi yakaanguka chini."
Ever since he came from school he has not yet removed his uniform.,Tangu alipotoka shuleni bado hajaondoa sare yake.
Aunt cried continuously because of her missing son.,Shangazi alilia kila wakati kwa sababu ya mtoto wake aliyepotea.
The thorns pierced his hands.,Miiba ilichoma mikono yake.
Witches are a threat in the community.,Wachawi ni tishio katika jamii.
The witch doctor asked her to bring a sacrifice.,Daktari mchawi alimwuliza kuleta dhabihu.
The little boy was killed.,Mvulana mdogo aliuawa.
She fainted on hearing that her son has died.,Alitamani kusikia kwamba mtoto wake amekufa.
He thinks that no body likes him.,Anafikiria kuwa hakuna mwili unaompenda.
She rolled on the ground while crying.,Akavingirisha ardhini huku akilia.
I have not heard from my mother for two days now.,Sijasikia kutoka kwa mama yangu kwa siku mbili sasa.
Everyone in the room was silent.,Kila mtu ndani ya chumba alikuwa kimya.
"Whenever he came from Kampala, he brought gifts for the children.","Wakati wowote alipokuja kutoka Kampala, alileta zawadi kwa watoto."
You need to buy a new tyre for this car.,Unahitaji kununua tairi mpya kwa gari hili.
She is a very proud mother.,Yeye ni mama mwenye kiburi sana.
I only got one piece of chicken.,Nilipata kipande kimoja tu cha kuku.
She cut her finger while peeling sweet potatoes.,Alikata kidole chake wakati akipiga viazi vitamu.
Blood was flowing out of his nose.,Damu ilikuwa ikitoka nje ya pua yake.
She laughed at my drawing.,Alicheka mchoro wangu.
A knife with blood was found at the crime scene.,Kisu kilicho na damu kilipatikana katika eneo la uhalifu.
He was breathless after the race.,Alikuwa na pumzi baada ya mbio.
Tears kept flowing out of my eyes because of the pain I was feeling.,Machozi yalizidi kutoka kwa macho yangu kwa sababu ya maumivu ambayo nilikuwa nahisi.
She screamed when the murderers attacked him.,Alipiga kelele wakati wauaji walimshambulia.
Her friends came to visit her in the hospital.,Rafiki zake walikuja kumtembelea hospitalini.
She nolonger has time to play with other children.,Yeye Nolonger ana wakati wa kucheza na watoto wengine.
I wonder what is making mother cry.,Nashangaa ni nini kinachomfanya mama kulia.
My aunt is a polite person.,Shangazi yangu ni mtu mwenye heshima.
It was his friend that stole the money.,Ilikuwa rafiki yake aliyeiba pesa.
He does not know how to write his name.,Hajui jinsi ya kuandika jina lake.
He is suspected to have kidnapped other people's children.,Anashukiwa kuwa ameteka nyara watoto wa watu wengine.
He bribed the police officers and they released him from prison.,Alipeana rushwa maafisa wa polisi na wakamwachilia kutoka gerezani.
 He told me not to respond when a stranger calls me., Aliniambia nisijibu wakati mgeni ananiita.
Children are advised not to take gifts from strangers.,Watoto wanashauriwa wasichukue zawadi kutoka kwa wageni.
He is my best friend.,Yeye ni rafiki yangu mkubwa.
He does not live in this village anymore.,Yeye haishi tena katika kijiji hiki.
What kind of business does he deal in?,Je! Anashughulikia biashara ya aina gani?
The two boys fought yesterday.,Wavulana hao wawili walipigania jana.
 God knows what the two women are talking about., Mungu anajua kile wanawake wawili wanazungumza.
I was seated listening to music.,Nilikuwa nimekaa nikisikiliza muziki.
My mother taught me how to peel bananas.,Mama yangu alinifundisha jinsi ya kumwaga ndizi.
He has removed the shaking teeth.,Ameondoa meno ya kutetemeka.
Some men are addicted to masturbation.,Wanaume wengine ni madawa ya kupiga punyeto.
He does not laugh so often.,Yeye hacheki mara nyingi.
She spoke back with very rude words.,Aliongea nyuma na maneno ya kinyongo sana.
My son is six years old.,Mwanangu ana miaka sita.
The teacher chased him out of the classroom.,Mwalimu alimfukuza kutoka darasani.
He went to the plantation and sat near a cluster of banana trees.,Alikwenda kwenye shamba na kukaa karibu na nguzo ya miti ya ndizi.
Trees that do not bear fruits should be cut down.,Miti ambayo haina kuzaa matunda inapaswa kukatwa.
I send some money to my mother every month.,Ninatuma pesa kwa mama yangu kila mwezi.
He composed a nice song.,Alitunga wimbo mzuri.
She does not know how to sing.,Hajui kuimba.
He brings sweets for the children everyday.,Yeye huleta pipi kwa watoto kila siku.
 I will give you some food., Nitakupa chakula.
I no longer eat sweets.,Sikula tena pipi.
The police killed the murder suspects.,Polisi waliwauwa watuhumiwa wa mauaji.
We cannot bring the dead back to life.,Hatuwezi kuwarudisha wafu.
The two boys were kidnapped.,Wavulana hao wawili walitekwa nyara.
The wind was blowing the banana leaves.,Upepo ulikuwa unavuta majani ya ndizi.
My heart beats faster when I am afraid.,Moyo wangu unapiga haraka wakati ninaogopa.
The children went to catch grasshoppers.,Watoto walikwenda kukamata panzi.
I enjoy eating grasshoppers.,Ninafurahiya kula panzi.
Some people eat meat every day.,Watu wengine hula nyama kila siku.
The traffic officer stopped the careless driver on the road.,Afisa wa trafiki alimsimamisha dereva asiyejali barabarani.
Tomorrow we expect visitors at home.,Kesho tunatarajia wageni nyumbani.
"One day, everything will get better.","Siku moja, kila kitu kitakuwa bora."
The baby used to cry alot.,Mtoto alikuwa akilia sana.
I want to go with my father to the city.,Nataka kwenda na baba yangu kwenda jijini.
We requested police to help us search for the lost child.,Tuliomba polisi watusaidie kumtafuta mtoto aliyepotea.
Father went out looking for him.,Baba alitoka kumtafuta.
The murderers cut his neck and choped off his head.,Wauaji walikata shingo yake na kumkata kichwa.
His father frequently goes to the city to do business.,Baba yake mara nyingi huenda jijini kufanya biashara.
What made her lose hope?,Ni nini kilimfanya apoteze tumaini?
She cried over the death of her dog.,Alilia juu ya kifo cha mbwa wake.
He was a prime suspect because there was blood in his car.,Alikuwa mtuhumiwa mkuu kwa sababu kulikuwa na damu kwenye gari lake.
I sleep alone in my bed.,Ninalala peke yangu kitandani kwangu.
One of the twins died.,Mmoja wa mapacha alikufa.
My mother and father are very caring people.,Mama yangu na baba ni watu wanaojali sana.
He insisited and went back to the bar.,Alisisitiza na kurudi kwenye baa.
The police is carrying out an investigation on the fraud case.,Polisi wanafanya uchunguzi juu ya kesi ya udanganyifu.
Uncle was imprisoned the second time.,Mjomba alifungwa mara ya pili.
The witch doctor assured her that she will get rich.,Mchawi alimhakikishia kwamba atakuwa tajiri.
It is always dark at night.,Daima ni giza usiku.
Her little brother was born blind.,Ndugu yake mdogo alizaliwa kipofu.
I do not walk at night.,Sitembei usiku.
I remember everything he told me.,Nakumbuka kila kitu aliniambia.
The very many thoughts I had kept me awake in bed.,Mawazo mengi ambayo nilikuwa nimeniweka macho kitandani.
Mother woke up with swollen eyes.,Mama aliamka na macho ya kuvimba.
What is the name of the company you work for?,Je! Jina la kampuni unayoifanyia kazi ni nani?
She wanted me to accompany her to the hospital.,Alinitaka niandamane naye hospitalini.
His brother is only two years older than him.,Ndugu yake ni mkubwa zaidi ya miaka miwili kuliko yeye.
He helped me forget some of my problems.,Alinisaidia kusahau shida zangu kadhaa.
She does not eat pawpaws.,Yeye hale pawpaws.
His plantation has profited him alot.,Upandaji wake umemnufaisha sana.
She sneaked into his house at night.,Aliingia ndani ya nyumba yake usiku.
"When I saw the smoke, I suspected a fire somewhere.","Wakati niliona moshi, nilishuku moto mahali pengine."
We picked only the ripe pawpaws from the tree.,Tulichukua tu pawpaws zilizoiva kutoka kwa mti.
How big is your banana plantation?,Upandaji wako wa ndizi ni mkubwa kiasi gani?
The shrine is very dark.,Shimoni ni giza sana.
No one in our village has electricity.,Hakuna mtu katika kijiji chetu ana umeme.
We covered the food with banana leaves.,Tulifunua chakula na majani ya ndizi.
Mother has cut the pawpaw for us to eat.,Mama amekata pawpaw kwa sisi kula.
We ate alot of food yesterday.,Tulikula chakula kingi jana.
She told the children to run away from the angry dog.,Aliwaambia watoto waondoke na mbwa mwenye hasira.
He strongly believes in his mother.,Anaamini sana mama yake.
The children laughed at him because he had no front teeth.,Watoto walimcheka kwa sababu hakuwa na meno ya mbele.
Why are you running?,Kwa nini unakimbia?
I stopped to look at his shoes.,Nilisimama kutazama viatu vyake.
"Let us leave this place, it is so dark.","Wacha tuondoke mahali hapa, ni giza sana."
The baby has not yet learnt how to talk properly.,Mtoto bado hajajifunza kuongea vizuri.
Her boyfriend knelt down while proposing to her.,Mpenzi wake alipiga magoti wakati akipendekeza kwake.
There might be ripe bananas inside the kitchen.,Kunaweza kuwa na ndizi zilizoiva ndani ya jikoni.
The seeds were placed into the soil.,Mbegu ziliwekwa ndani ya mchanga.
The twins do everything together.,Mapacha hufanya kila kitu pamoja.
He leaves very far from our home.,Anaondoka mbali sana na nyumba yetu.
He collected all the rubbish into the sack.,Alikusanya takataka zote kwenye gunia.
How long do bananas take to grow?,Ndizi huchukua muda gani kukua?
I feel like eating yellow bananas today.,Ninahisi kula ndizi za manjano leo.
He jumped onto his feet inorder to set off for the journey.,Aliruka kwenye miguu yake ili aende kwa safari.
He does not want to look people straight in the eyes.,Hataki kuangalia watu moja kwa moja machoni.
She parked her car near mine.,Alipaki gari lake karibu na yangu.
He adorably was looking at her.,Kwa kweli alikuwa akimwangalia.
She was running aimlessly around the village.,Alikuwa akikimbia bila malengo karibu na kijiji.
As we were running we stopped somewhere to catch some breath.,Wakati tulipokuwa tukiendesha tulisimama mahali pengine kupata pumzi.
I am twenty years of age.,Nina umri wa miaka ishirini.
I do not know the answer to this question.,Sijui jibu la swali hili.
He was looking at me when I removed the sack.,Alikuwa akinitazama wakati niliondoa gunia.
Go away from here please.,Nenda mbali hapa tafadhali.
Go and buy some sugar from the shop.,Nenda na ununue sukari kutoka duka.
Wait for me and we go home together.,Subiri mimi na tuende nyumbani pamoja.
He was running yet no one was chasing him.,Alikuwa akikimbia bado hakuna mtu aliyemfukuza.
The wife followed her husband to where he was heading.,Mke alimfuata mumewe hadi pale alipokuwa akielekea.
She had a horrible experiece at child birth.,Alikuwa na uzoefu wa kutisha wakati wa kuzaliwa kwa mtoto.
She threw a stone that hit him on the head.,Alitupa jiwe ambalo lilimgonga kichwani.
He was still alive even after the accident.,Alikuwa bado hai hata baada ya ajali.
The dead person's eyes were wide open.,Macho ya mtu aliyekufa yalikuwa wazi.
He saw the thief from the window.,Aliona mwizi kutoka dirishani.
He cannot talk because that was the way he was born.,Hawezi kuongea kwa sababu ndivyo alivyozaliwa.
His voice cannot be heard.,Sauti yake haiwezi kusikika.
"Though he could not speak, he was seeing everything that was going on.","Ingawa hakuweza kuongea, alikuwa akiona kila kitu kinachoendelea."
I speak positive things to myself every day.,Ninazungumza mambo mazuri kwangu kila siku.
We need someone to help us with house chores.,Tunahitaji mtu wa kutusaidia na kazi za nyumbani.
This is the last task I will be doing today.,Hii ndio kazi ya mwisho nitakayokuwa nikifanya leo.
Most church buildings have a cross on them.,Majengo mengi ya kanisa yana msalaba juu yao.
We decided to put on the same clothes.,Tuliamua kuvaa nguo zile zile.
She did not mean what she was saying.,Hakumaanisha kile alikuwa akisema.
He was killed by strangers.,Aliuawa na wageni.
May be you need to visit the hospital for a check up.,Labda unahitaji kutembelea hospitali kwa ukaguzi.
No one came to her rescue.,Hakuna mtu aliyemwokoa.
"He spoke in a very low tone, we could hardly hear him.","Aliongea kwa sauti ya chini sana, hatuwezi kumsikia."
That path is usually very dark at night.,Njia hiyo kawaida ni giza sana usiku.
He fainted as he was trying to run up the hill.,Alichoka wakati alikuwa akijaribu kukimbia kilima.
Her husband is building a house in the village.,Mumewe anaunda nyumba katika kijiji.
He knocked the door as he was coming out of the room.,Akagonga mlango wakati anatoka nje ya chumba hicho.
He had water in his bottle.,Alikuwa na maji kwenye chupa yake.
People were chasing the thief.,Watu walikuwa wakimfukuza mwizi.
"After school, he ran straight home.","Baada ya shule, alikimbia nyumbani moja kwa moja."
When I reached home the door was closed.,Nilipofika nyumbani mlango ulifungwa.
I do not know what made him angry.,Sijui ni nini kilimkasirisha.
I will go and pick him from school.,Nitaenda kumchagua kutoka shuleni.
The glass bottle fell down and broke.,Chupa ya glasi ilianguka chini na kuvunja.
He was holding a gun in his hands.,Alikuwa ameshika bunduki mikononi mwake.
It is very hard to let go of some memories.,Ni ngumu sana kuacha kumbukumbu kadhaa.
I imagine myself being the best in class.,Nadhani mwenyewe kuwa bora darasani.
My blanket keeps me warm at night.,Blanketi yangu inaniweka joto usiku.
He climbed on top of the hut and threw himself down.,Alipanda juu ya kibanda na akajitupa chini.
I lay on the bed waiting to see what father would bring for me.,Nililala kitandani nikisubiri kuona baba angeleta nini.
She whispered to me her results.,Alininong'oneza matokeo yake.
In our village there many grass thatched huts.,Katika kijiji chetu kuna nyasi nyingi zilizopigwa.
We tried to share the little we had with the poor.,Tulijaribu kushiriki kidogo tulichokuwa nacho na masikini.
The two businesses signed an agreement.,Biashara hizo mbili zilitia saini makubaliano.
The army forces united to fight against the rebels in Uganda.,Vikosi vya Jeshi viliungana kupigana na waasi nchini Uganda.
Birds' feathers can be used for decoration.,Manyoya ya ndege yanaweza kutumika kwa mapambo.
My father built a very big bungalow.,Baba yangu aliunda bungalow kubwa sana.
A good house should be well ventilated.,Nyumba nzuri inapaswa kuwa na hewa nzuri.
There are crocodiles and hippopotamuses in water.,Kuna mamba na kiboko katika maji.
She bought a new dress for the party.,Alinunua mavazi mpya kwa sherehe.
I tried to stop her inorder to greet her.,Nilijaribu kumzuia ili amsalimu.
We keep the drinking water in a jerrycan.,Tunaweka maji ya kunywa katika jerrycan.
The girl was raped at the age of fifteen years.,Msichana huyo alibakwa akiwa na umri wa miaka kumi na tano.
He tried to strangle her with his hands around her throat.,Alijaribu kumfunga kwa mikono yake karibu na koo lake.
The man was wearing an army uniform.,Mtu huyo alikuwa amevaa sare ya jeshi.
His parents want him to get them a grandchild.,Wazazi wake wanataka apate mjukuu.
I thought corruption was only for the politicians and big business men.,Nilidhani ufisadi ni kwa wanasiasa na wafanyabiashara wakubwa tu.
She works for a small clinic in town.,Yeye hufanya kazi kwa kliniki ndogo katika mji.
I do not care about what others have to say.,Sijali kuhusu wengine wanasema nini.
 I have spent the day running around offices getting papers stamped., Nimetumia siku hiyo kuzunguka ofisi kupata karatasi zilizopigwa mhuri.
How often do you go for medical check ups in a year?,Ni mara ngapi unaenda kwa ukaguzi wa matibabu kwa mwaka?
Medical check up fees are very expensive.,Ada ya kuangalia matibabu ni ghali sana.
Most of my work mates are from the same village.,Wengi wa wenzi wangu wa kazi ni kutoka kijiji kimoja.
We were chatting with her in our local language.,Tulikuwa tunazungumza naye kwa lugha yetu ya kienyeji.
I think it is unfair for business managers to practice price discrimination.,Nadhani sio haki kwa wasimamizi wa biashara kufanya ubaguzi wa bei.
How much is the consultation fee in that hospital?,Je! Ada ya mashauriano ni kiasi gani katika hospitali hiyo?
You will go in for the check up after the patient has returned.,Utaingia kwa ukaguzi baada ya mgonjwa kurudi.
He can hardly read any English sentences.,Hawezi kusoma sentensi zozote za Kiingereza.
How many languages can you speak?,Je! Unaweza kuzungumza lugha ngapi?
I did not understand the language she was using.,Sikuelewa lugha aliyokuwa akitumia.
What is your mother tongue?,Ulimi wako wa mama yako ni nini?
Children are not allowed to speak vernacular while at school.,Watoto hawaruhusiwi kuzungumza lugha ya kawaida wanapokuwa shuleni.
His father takes him to school every morning.,Baba yake humpeleka shuleni kila asubuhi.
The teacher introduced the new student to the classroom.,Mwalimu alianzisha mwanafunzi huyo mpya darasani.
Our classroom is the biggest at school.,Darasa letu ni kubwa shuleni.
The walls of the fence are very dirty.,Kuta za uzio ni chafu sana.
The teacher marks the books from his desk in the classroom.,Mwalimu anaashiria vitabu kutoka kwenye dawati lake darasani.
The classroom has a blackboard at the front and fifty benches.,Darasa hilo lina ubao wa mbele na madawati hamsini.
On what date are you reporting back to work after your leave?,Je! Unaripoti kwa tarehe gani kufanya kazi baada ya kuondoka kwako?
She used balloons to decorate for my birthday party.,Alitumia baluni kupamba kwa sherehe yangu ya kuzaliwa.
The pupils' bags are kept on hooks at the back of the classroom.,Mifuko ya wanafunzi huhifadhiwa kwenye ndoano nyuma ya darasa.
Our class teacher is a friend to my father.,Mwalimu wetu wa darasa ni rafiki kwa baba yangu.
He wants to sell his fridge to me.,Yeye anataka kuuza friji yake kwangu.
My little sister cries every morning when she is being taken to school.,Dada yangu mdogo analia kila asubuhi wakati anapelekwa shuleni.
He teaches students in both primary four and five classes.,Yeye hufundisha wanafunzi katika madarasa ya msingi ya nne na tano.
The teacher keeps our book in the classroom.,Mwalimu huweka kitabu chetu darasani.
There is a fridge in the school canteen.,Kuna friji kwenye canteen ya shule.
Pupils in the classroom keep their snacks in their bags until break time.,Wanafunzi darasani huweka vitafunio vyao kwenye mifuko yao hadi wakati wa mapumziko.
